單號,日期,出入庫,六編/藥品簡稱,類別,藥品名稱,數量,效期,員編
A202606210001,2026-06-21,入庫,125991 / 鼻舒液,原裝藥水,缺貨追(禁售)客訂避光C-200瓶/箱PSEU鼻舒液60ML,200,2028-04-07,5261
A202606220001,2026-06-22,入庫,119416 / 欣胃,腸胃藥,不售自費C-1000粒/瓶SINWELL欣胃錠(複方)[國嘉]-診所用,2000,2028-05-28,11348
